CustomerID,FirstName,LastName,Gender,DateOfBirth,Email,PhoneNumber,Address,City,State,PostalCode,Country,LoyaltyProgramID
57,Martin,Hoffman,Others,1957-04-28,aimeewilliams@example.org,6364538797,4935 Bird Square South Stephanieborough  WI 47919,Davidside,Indiana,53379,Palau,3
58,Shannon,Harris,M,1994-11-12,crawfordashley@example.org,(296)578-0142x7549,9174 Kelly Hollow South Amyborough  HI 22051,Millerfort,Iowa,56850,Burundi,5
59,Helen,Villegas,F,1974-07-04,nbarnes@example.net,+1-251-618-9369x53033,3890 Jones Turnpike Waltersport  UT 48317,Jasonmouth,Louisiana,29069,Hong Kong,1
60,Kristin,Rodgers,Others,1984-09-25,palmerkathryn@example.com,+1-224-502-5964x2168,154 Elizabeth Ramp North Jake  PW 86021,Annamouth,South Dakota,47986,Wallis and Futuna,2
61,Thomas,Drake,Not Specified,1989-03-16,jenniferhudson@example.org,(293)431-5609,55182 Wise Loaf Apt. 866 New Sarah  CO 02769,North Oliviaport,New Hampshire,34567,North Macedonia,5
62,Jonathan,Davidson,M,1980-02-25,james76@example.net,+1-370-939-2503x01107,6035 Monica Dam Suite 357 Port Jessicaview  SC 89480,Alicebury,Wisconsin,29020,Saint Kitts and Nevis,2
63,Michael,Simpson,Others,2003-10-21,kwelch@example.org,001-546-991-6322x632,48302 Fischer Islands Apt. 354 Lake Caitlin  WV 65775,South Carl,Kentucky,85091,Mauritania,2
64,Alexander,Hughes,Others,1972-11-23,jessicalewis@example.net,219.480.1569x340,PSC 0894  Box 9640 APO AA 59075,New Nicole,Iowa,76972,Chad,3
65,Susan,Johnson,F,1981-01-17,sandersjose@example.net,+1-817-568-7515x0034,0907 Cynthia Tunnel Suite 952 West Dustinmouth  WV 13512,New Sarachester,South Carolina,16715,Liberia,3
66,Daniel,Castillo,M,1959-02-16,aliciacaldwell@example.net,748.229.8184,6492 Stevens View Apt. 609 Freemanview  RI 18916,Weissstad,New Mexico,55688,Sierra Leone,1
67,Christian,Patterson,Others,1993-01-23,ambergardner@example.net,+1-232-382-9792x03849,1262 Megan Mission Suite 357 Jamesstad  PA 67021,Hallberg,Massachusetts,55046,Guatemala,4
68,Stephanie,Pierce,F,1979-11-30,stephanie59@example.net,334.376.0380,6170 Crystal Alley Suite 633 Nancyshire  VT 45370,New Bethfort,New York,46334,Kazakhstan,2
69,Glenn,Johnson,Not Specified,1971-05-19,eric77@example.org,(677)205-2823x33904,717 Katherine Drive Suite 768 Hamiltonland  NE 33883,Pierceborough,Florida,06206,Bolivia,5
70,Troy,Drake,Not Specified,1998-11-09,peterramirez@example.net,001-768-235-6588x397,0246 Samuel Mews Apt. 999 Lake Barbarahaven  CA 19416,New Peterborough,Arkansas,53744,Estonia,1
71,Christopher,Diaz,Not Specified,1997-06-13,brianacole@example.com,+1-840-377-3225x41871,1707 Manning Lodge Randallville  MI 07626,West Thomas,Kentucky,83183,Yemen,3
72,Jorge,Dickerson,M,2004-04-10,daniel48@example.net,906-964-0881x1176,517 Tammy Drive Suite 839 Pamelaville  KY 87975,Marshallberg,New Jersey,42726,Ukraine,2
73,Alexander,Brown,F,1974-01-02,ricebridget@example.com,270-760-8632,83430 Frances Knolls East Gary  VA 20927,Port Michael,Wisconsin,75211,Palau,4
74,Veronica,Nichols,Not Specified,1973-12-20,turnerpatrick@example.com,001-208-927-8345,818 Krause Shores New Roberto  MT 42000,Lopezshire,Florida,16893,Gibraltar,1
75,William,Ward,F,1993-01-22,fvalentine@example.org,001-341-407-9643x9650,3636 Heather Plaza Kevinview  NY 40809,Tammyborough,Pennsylvania,00922,Saint Vincent and the Grenadines,1
76,Bobby,Hicks,Not Specified,1974-12-17,nlee@example.com,430.651.2156x0713,46625 Ronald Flat North Timothy  NV 97602,Cunninghamtown,Illinois,15192,Reunion,1
77,Kayla,Haynes,Others,2001-09-24,rowediane@example.com,392.452.9285x76062,4676 Kimberly Drives Apt. 937 Brittanyland  FL 13624,West Wendymouth,Idaho,36093,New Caledonia,5
78,Margaret,Montgomery,Not Specified,1990-08-09,wilsonlydia@example.com,829.697.1430x8652,Unit 9141 Box 8634 DPO AP 48017,North Carlos,Missouri,81291,Sierra Leone,5
79,Jennifer,Mitchell,F,1995-10-19,qhughes@example.com,(552)865-4813,4238 Maria Ford Port Nancyborough  GU 53546,Ryanside,Florida,47188,Nigeria,5
80,Nathan,Goodman,Not Specified,2003-01-07,oliviabutler@example.net,(201)320-9009x7976,137 Evans Isle Bartonport  MO 82114,Harrischester,Illinois,38647,Guyana,3
81,John,Long,M,1955-07-07,burgesssavannah@example.com,+1-714-469-2428x910,0971 Wilson Loop Suite 329 Roweborough  SD 50778,North Sara,Nevada,82772,Lithuania,3
82,William,Martinez,M,1994-08-09,barkerhannah@example.com,001-413-631-9369x8706,84478 Mackenzie Lodge Suite 705 Lewisbury  OK 01465,Campbellport,Minnesota,38030,Chile,1
83,Beth,Shannon,F,1986-06-06,gutierrezjanet@example.com,001-648-360-1084x3703,02246 Jeffrey Trail Suite 536 Langbury  MS 36902,East Donnaland,New Mexico,89589,Bermuda,3
84,Alex,Ray,F,1983-08-09,vdavis@example.net,4664127304,85973 Farmer Trail Apt. 993 East Lisa  AS 63013,Johnsonchester,Missouri,15593,Pitcairn Islands,1
85,Amy,Romero,F,1989-03-15,destinysandoval@example.net,363.857.6640,3779 Hernandez Burgs Port Jamesside  AS 61268,Greenmouth,Georgia,76649,Falkland Islands (Malvinas),3
86,Peter,Mcmahon,F,1983-01-07,larryrivera@example.net,248-907-0610,49874 Jessica Pass Suite 791 Lake Annastad  LA 61932,West Pennyton,Ohio,78453,Algeria,3
87,Anthony,Newman,Not Specified,1975-10-03,lawrencepeterson@example.net,001-757-854-2676x9069,4315 Gary Wells East Stephenstad  LA 97214,Port Brandon,Louisiana,13393,Eritrea,4
88,Adriana,Parker,M,1979-03-27,hcook@example.org,+1-388-458-0248,17518 Carr Forges Apt. 934 Samanthastad  AL 75078,Lake Shelby,New Hampshire,68435,Senegal,2
89,Rachel,Olson,Others,1979-05-12,christinecherry@example.net,+1-662-984-3438x005,286 Robert Plaza Apt. 705 Port Aliciaton  LA 14426,North Jeremyhaven,Texas,66461,Congo,1
90,Joan,Davis,M,1976-08-18,allison05@example.com,001-478-878-0358,45313 Robert Flat Susanmouth  MI 93045,Mathewsville,Minnesota,49960,Algeria,5
91,Benjamin,Gamble,Others,1990-08-17,ymayer@example.com,(802)504-1570,2656 Kristen Meadows West Bethanyview  VT 02432,North Jesse,Oregon,05356,Zambia,1
92,Steven,Best,Not Specified,1999-02-04,jasonmcgee@example.com,001-518-493-5097x478,9504 Rose Fields South Nicholasport  WY 62724,East Parker,Mississippi,78070,Poland,4
93,Barbara,Gomez,M,1991-11-17,arnoldjanet@example.net,001-990-462-2165,188 Curtis Well Lake Chad  ND 69557,Ralphberg,Georgia,97200,Congo,3
94,Shannon,Silva,F,1993-07-24,catherine78@example.net,885-683-0727,394 Kennedy Estates Apt. 922 West Ryanberg  GA 15575,Port John,Kentucky,87907,Cote d'Ivoire,2
95,Jonathan,Ochoa,F,1991-01-02,crystalgarcia@example.net,(395)363-5589x2675,0583 Krueger Spurs Chungshire  IA 69657,Port Carrie,Kansas,56004,Bermuda,1
96,Cody,Smith,F,2005-09-28,lucerojoshua@example.net,529-287-6792,34094 Kelly Forge South Ashleymouth  MO 52937,Charlesport,Nebraska,10961,Belize,2
97,Dana,Howard,F,1992-06-01,april19@example.com,687.998.2286,41481 Robert River Suite 435 Robinsonhaven  NH 81028,New Sarah,New Mexico,72446,Iraq,2
98,Russell,Brock,Not Specified,1968-09-05,amanda35@example.com,(848)418-8398x4643,48264 Samantha Key Port Jeffrey  NC 89709,North Martinport,Massachusetts,05412,Cape Verde,1
99,Kimberly,Smith,F,1993-12-22,anitajackson@example.net,260-365-1159x13022,773 Cummings Ville Apt. 315 Holtland  NE 83778,New Cynthiaport,South Dakota,95989,New Zealand,4
100,James,Baldwin,F,2001-07-04,imosley@example.com,001-813-462-9988,94056 Jeanette Freeway Lisabury  PA 68359,East Brittany,Ohio,14090,Brazil,1
101,Tara,Obrien,F,1977-01-22,boothvalerie@example.com,+1-844-202-9925x2297,78005 Bruce Corners North Sarah  ND 64364,South Margaret,West Virginia,42713,China,2
102,Eric,Lewis,M,1996-03-31,adamtaylor@example.com,(212)854-2751x04540,1290 Carroll Summit Candiceport  ND 35744,Vincentbury,Nebraska,19159,Western Sahara,3
103,Gregory,Morris,M,1968-12-09,rick82@example.org,+1-739-860-0832,5733 Michele Throughway Thompsonshire  OH 32320,East Michael,Kansas,17319,Greece,2
104,Kimberly,Maddox,Others,1990-02-12,martinallen@example.org,+1-202-784-0385x6995,1865 Christine Court Thomasmouth  TN 88669,Hernandezport,Alabama,70374,Tonga,2
105,Keith,Walker,M,1960-03-13,vazquezkenneth@example.org,814-367-6287x51357,587 Jeffrey Track Buckshire  PW 84045,East Dennis,Oregon,90349,El Salvador,5
106,Brenda,Garrett,M,1957-01-05,rnolan@example.org,409.901.7477x618,38919 Thompson Motorway Pierceville  MI 35555,Murphyfurt,Florida,20947,Reunion,4
107,Melissa,Harvey,Others,1999-12-06,geraldwatts@example.net,(783)849-4096x1474,691 Matthew Underpass Apt. 189 North Robert  MD 09239,Ashleymouth,Connecticut,36236,Hong Kong,3
108,Edward,Harding,F,1982-12-14,angela71@example.com,7794423826,382 Foster Brooks Suite 796 East Angelaton  ND 28948,Harrismouth,Virginia,30933,Greece,5
109,Robert,Gross,M,1992-07-27,zacharysaunders@example.com,001-994-335-4507x8456,4070 Boyd Valley Apt. 356 West Susanbury  TN 80821,North Jenniferburgh,Kentucky,51640,Burundi,2
110,Ryan,Palmer,F,1980-06-06,miranda84@example.net,836.523.9501x9145,459 Isabel Lake Suite 924 North Sandrafurt  VI 78024,Hollyfurt,New Mexico,49765,Anguilla,1
111,Amanda,Curtis,Not Specified,1965-10-27,jasoncarney@example.com,749.869.6504,49172 Wong Summit Apt. 520 West Johnnyville  PW 57876,Port Rachel,Oklahoma,42499,Bahamas,4
112,Adam,Kelley,Not Specified,2002-09-30,kristen31@example.net,951-269-7856,91941 Edwards Road Morrowport  TX 71512,Freemanbury,Maine,13444,Lithuania,2
113,Matthew,Smith,F,1998-12-26,yreyes@example.org,+1-494-543-1777x88059,9113 Keith Rue Suite 506 West Ryanville  NH 45291,Matthewbury,Connecticut,10677,Greece,1
114,Christina,Garcia,Others,2003-01-16,josephmccarty@example.org,728-218-0909,9540 Andrew Islands Marshallberg  KS 74653,Arthurville,Louisiana,57867,Mexico,5
115,Shelia,Kennedy,Not Specified,2007-07-29,stephengonzalez@example.org,296-248-5520x02347,61158 Laurie Ville Apt. 779 Colemouth  ID 91490,Lake Shawn,Texas,32665,Zimbabwe,2
116,Janet,Morgan,Not Specified,1972-02-26,patrick97@example.com,3484748919,Unit 6408 Box 8883 DPO AA 57002,Rachelside,Texas,94131,Kyrgyz Republic,1
117,Dennis,Douglas,F,2003-05-08,jessicawatts@example.org,644.925.9731,2868 Michael Hollow Wuhaven  NE 05177,Andersonport,Kansas,82259,Cayman Islands,4
118,Natalie,Shelton,F,1979-12-07,tonya77@example.com,+1-885-914-6226x052,6338 Pamela Lake Loweryport  FM 22397,South Stephenside,Wisconsin,07200,Cambodia,1
119,Nicole,Herring,M,1989-11-29,tonyacarr@example.com,759-309-5514x16094,PSC 3557  Box 3105 APO AA 35440,South Markton,Indiana,65520,Taiwan,1
120,Todd,Davies,M,1955-07-11,davidball@example.org,581-450-6656x427,62612 Kyle Mission Apt. 297 Port Josephchester  MI 58488,Lake Eric,Massachusetts,14112,Costa Rica,2
121,James,Rosario,F,1984-01-02,heatherhudson@example.net,+1-792-370-4927x206,8982 Cameron Court Port Christopherhaven  MI 33198,Frankborough,California,61455,Kyrgyz Republic,5
122,Jonathan,Powell,F,1957-06-05,natalie40@example.org,771-524-3415x62197,855 Haley Pines Apt. 190 Port Williamville  KY 16485,New Megan,Iowa,44494,Venezuela,4
123,Kristina,Woodard,M,1956-06-30,walkeramanda@example.com,+1-821-495-5499x63128,361 Mariah Streets Apt. 999 South Williamport  GU 89181,South Jacobtown,Idaho,95575,Japan,3
124,Dustin,Nelson,Not Specified,2001-01-28,milleramanda@example.org,(226)238-4827,385 Michael Forge Suite 208 Moodyberg  ME 34099,Moorefurt,Wisconsin,22544,Pakistan,2
125,William,Bailey,M,2004-06-27,wanderson@example.org,480.848.2126,2247 Andrea Grove Apt. 024 Duncanmouth  AK 55709,Port Melissastad,North Dakota,73041,Germany,3
126,Emily,Richards,Not Specified,1996-01-15,lvaldez@example.net,5739386205,937 Tonya Neck Apt. 968 West Jeffrey  DE 94345,South Nicolehaven,Iowa,64199,El Salvador,4
127,Ariel,Taylor,Not Specified,1957-01-11,wwhite@example.org,(397)853-6994,448 Singleton Pines Suite 562 Christopherport  MD 71959,Osborneton,Idaho,63225,Slovakia (Slovak Republic),3
128,Ryan,Flynn,F,1965-11-08,petersonamanda@example.com,(482)723-1314x840,369 Steven Gardens Apt. 099 Debrashire  ND 69852,East Ericview,Tennessee,42818,Germany,4
129,Kathy,Brown,Others,1994-06-21,stevensshari@example.com,823-312-7118,984 Nicholson Walks Apt. 013 Lake Jacob  FL 78121,Aaronview,New Hampshire,42754,Mauritius,3
130,Anthony,Hunter,F,1961-11-14,warrenrachel@example.com,8796371318,USCGC Walters FPO AA 16454,South Melissaland,Arizona,72804,Montserrat,1
131,Daniel,Allen,Others,1968-01-31,jsnow@example.net,529-898-3869x52829,35860 Garrison Wells Suite 017 Port Jimmy  AL 30394,Coleport,Texas,69634,Antarctica (the territory South of 60 deg S),2
132,Michael,Cain,Not Specified,1958-03-29,rarias@example.net,539.836.7864x5110,59819 Justin Extensions Apt. 598 Stephenton  MN 91000,Brownton,Nevada,54911,Netherlands Antilles,1
133,Cheryl,Martinez,F,1977-11-27,tara95@example.net,+1-282-600-2934x3310,02682 White Spring Suite 169 East Evanmouth  DC 69632,Lake Wesleymouth,Texas,40490,Afghanistan,3
134,Vincent,Reilly,F,1955-07-26,amberhurst@example.org,(258)890-4421x587,385 Wendy Island Apt. 681 Colemouth  NY 71644,Paulhaven,Colorado,84099,Australia,5
135,Tyrone,Alexander,Others,2002-04-21,garciabreanna@example.org,947-235-6071x149,2426 Darren Ports Suite 594 West Jason  TN 88698,East Michael,Wisconsin,40904,Finland,1
136,Thomas,Smith,Not Specified,1968-08-25,tanya73@example.net,5835711669,29716 Jones Plaza Wardbury  MS 58751,Lake Joshua,Hawaii,81895,Mali,1
137,Robert,Craig,M,1988-01-19,harry98@example.net,+1-525-756-1367,50784 Marc Ranch Apt. 042 Villanuevaview  MN 28547,Anitaburgh,Idaho,36877,Cape Verde,2
138,Scott,Wade,M,2000-01-18,emilyobrien@example.com,514-353-2314x142,70866 Alicia Cape Sethberg  VT 35844,Ryanstad,Idaho,10837,Czech Republic,3
139,Jennifer,Bradley,Not Specified,1961-02-07,carterashley@example.org,+1-825-925-5847x548,74540 Johnson Creek Mayobury  WI 96589,South Michele,Idaho,37477,Finland,3
140,Molly,Lowe,Others,1982-01-17,michael90@example.com,001-594-753-1598x195,56841 Bethany Pass Suite 617 North Zachary  GU 78130,Nicolehaven,Indiana,53614,Australia,4
141,Nicole,Sanchez,F,1997-05-20,jessebrown@example.net,633-514-6807x66641,812 Christian Turnpike Taylorside  AS 16116,Vanessaport,West Virginia,86623,Haiti,2
142,Zachary,Gomez,F,1994-10-22,phillipscharles@example.org,6874535974,88148 Brian Wall North Nicole  OR 74678,Port Dawnhaven,Alaska,76364,United Kingdom,4
143,Laura,Perez,Not Specified,1978-11-16,lopezedward@example.com,001-340-890-8334x596,1629 Key Spring Apt. 106 Port Johnville  TN 07470,South Julie,Utah,68527,Guernsey,5
144,Eddie,Nolan,Not Specified,1981-01-26,mcclainryan@example.net,+1-595-434-9017x6973,7918 Melanie Drives Suite 617 Port Michaelside  GU 07121,West Veronica,Rhode Island,92943,Niue,5
145,Molly,Malone,F,1966-12-15,samanthaortega@example.com,+1-641-408-8874x50884,14389 Burton Via Whiteburgh  CO 53592,West Alyssashire,Kentucky,56754,Brunei Darussalam,1
146,Stephanie,Rodriguez,Not Specified,1994-07-21,susan09@example.com,6983581015,59946 Jason Fords Apt. 886 New Kimberlyshire  CT 96952,West Tracieberg,Georgia,33795,Lesotho,3
147,Melissa,Thompson,Others,1956-02-03,phamdebra@example.org,001-438-458-7037x991,55066 Tonya Corner Caldwellburgh  MH 15640,New Mistyhaven,Iowa,08459,Switzerland,3
148,Donald,Marshall,M,1981-02-21,matthew13@example.org,(435)338-1604x0487,00265 Mayer Skyway Suite 894 Ericamouth  CO 39442,Jaimehaven,New Jersey,29618,Canada,5
149,John,Maldonado,Others,1977-07-23,bcalderon@example.net,001-570-705-6414x3661,179 Alejandro Land Apt. 754 North Nicholas  AS 19670,West Loriton,Kentucky,02798,Estonia,5
150,Stephen,Luna,Others,1956-07-25,wcross@example.net,7685391155,180 Smith Street New Carolynside  KY 25252,East Thomas,Massachusetts,59777,Jordan,3
151,Johnathan,Riddle,Others,1970-04-08,hillsarah@example.net,291-530-4287x3817,96040 Brian Parkways New Nichole  CO 22376,Davisstad,Louisiana,86708,Malawi,5
152,David,Clements,Not Specified,1979-03-07,coreygriffith@example.org,737.380.8957,0793 Grant Wall Paynetown  MH 09260,East Matthewport,Iowa,92510,French Southern Territories,4
153,Kelli,Vasquez,F,1958-07-12,greencole@example.com,001-279-537-3180x982,45651 Stephen Corners Davidmouth  HI 78703,North Mariaville,New Mexico,39549,Mongolia,1
154,Spencer,Chen,Others,1967-05-06,ginagrant@example.org,902-688-7722,23271 Patrick Forge Suite 446 Thomasberg  HI 54811,North Scottport,Tennessee,60614,Aruba,2
